timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2024-12-17T00:00,1.5,100,1.5,-0.7,0.0
2024-12-17T01:00,1.2,99,1.0,-1.2,0.0
2024-12-17T02:00,1.7,97,1.2,-0.8,0.0
2024-12-17T03:00,-1.7,100,-1.7,-4.4,0.0
2024-12-17T04:00,-2.1,100,-2.1,-4.8,0.0
2024-12-17T05:00,-1.0,100,-1.0,-3.6,0.0
2024-12-17T06:00,-2.6,100,-2.6,-5.3,0.0
2024-12-17T07:00,-1.9,100,-1.9,-4.3,0.0
2024-12-17T08:00,-0.2,98,-0.5,-2.8,0.0
2024-12-17T09:00,0.5,100,0.5,-1.8,0.0
2024-12-17T10:00,3.4,87,1.4,1.2,0.0
2024-12-17T11:00,4.7,84,2.3,2.7,0.0
2024-12-17T12:00,6.0,78,2.5,4.0,0.0
2024-12-17T13:00,6.5,76,2.5,4.7,0.0
2024-12-17T14:00,6.5,76,2.5,4.7,0.0
2024-12-17T15:00,5.7,83,3.1,3.9,0.0
2024-12-17T16:00,4.6,86,2.4,2.4,0.0
2024-12-17T17:00,3.8,88,2.0,1.8,0.0
2024-12-17T18:00,2.0,99,1.9,0.0,0.0
2024-12-17T19:00,1.8,100,1.8,-0.3,0.0
2024-12-17T20:00,-0.1,100,-0.1,-2.5,0.0
2024-12-17T21:00,-1.8,100,-1.8,-4.5,0.0
2024-12-17T22:00,-0.4,100,-0.4,-2.7,0.0
2024-12-17T23:00,-0.5,100,-0.5,-2.9,0.0
2024-12-18T00:00,1.1,100,1.1,-1.2,0.0
2024-12-18T01:00,-0.6,100,-0.6,-2.9,0.0
2024-12-18T02:00,-0.2,100,-0.2,-2.7,0.0
2024-12-18T03:00,-0.5,100,-0.5,-2.9,0.0
2024-12-18T04:00,-0.5,100,-0.5,-3.1,0.0
2024-12-18T05:00,0.2,100,0.2,-2.1,0.0
2024-12-18T06:00,-0.5,100,-0.5,-2.9,0.0
2024-12-18T07:00,0.5,100,0.5,-2.0,0.0
2024-12-18T08:00,0.1,100,0.1,-2.3,0.0
2024-12-18T09:00,0.3,100,0.3,-2.1,0.0
2024-12-18T10:00,1.8,98,1.5,-0.3,0.0
2024-12-18T11:00,3.3,90,1.8,1.4,0.0
2024-12-18T12:00,4.7,83,2.0,2.7,0.0
2024-12-18T13:00,5.6,80,2.4,3.7,0.0
2024-12-18T14:00,5.7,80,2.5,3.8,0.0
2024-12-18T15:00,4.8,85,2.5,2.9,0.0
2024-12-18T16:00,3.2,94,2.4,1.1,0.0
2024-12-18T17:00,2.0,100,2.0,0.0,0.0
2024-12-18T18:00,2.0,100,2.0,0.0,0.0
2024-12-18T19:00,0.9,100,0.9,-1.4,0.0
2024-12-18T20:00,-0.2,100,-0.2,-2.7,0.0
2024-12-18T21:00,-1.7,100,-1.7,-4.2,0.0
2024-12-18T22:00,-1.8,100,-1.8,-4.3,0.0
2024-12-18T23:00,-2.0,100,-2.0,-4.6,0.0
2024-12-22T00:00,-3.5,88,-5.2,-6.5,0.0
2024-12-22T01:00,-4.0,91,-5.3,-7.3,0.0
2024-12-22T02:00,-4.1,96,-4.7,-7.1,0.0
2024-12-22T03:00,-2.9,85,-5.0,-5.8,0.0
2024-12-22T04:00,-2.4,82,-5.0,-5.3,0.0
2024-12-22T05:00,-2.0,82,-4.7,-5.0,0.0
2024-12-22T06:00,-1.9,80,-4.9,-5.2,0.0
2024-12-22T07:00,-1.5,76,-5.2,-5.0,0.0
2024-12-22T08:00,-1.3,79,-4.5,-4.3,0.0
2024-12-22T09:00,0.3,76,-3.5,-3.1,0.0
2024-12-22T10:00,1.4,70,-3.5,-1.4,0.0
2024-12-22T11:00,3.6,65,-2.3,0.8,0.0
2024-12-22T12:00,3.7,65,-2.3,0.8,0.0
2024-12-22T13:00,3.9,70,-1.1,0.9,0.0
2024-12-22T14:00,5.2,68,-0.2,1.8,0.0
2024-12-22T15:00,3.9,76,0.1,1.2,0.0
2024-12-22T16:00,4.2,73,-0.2,1.6,0.0
2024-12-22T17:00,3.3,76,-0.5,0.6,0.0
2024-12-22T18:00,3.5,77,-0.2,0.7,0.0
2024-12-22T19:00,3.1,81,0.2,0.5,0.3
2024-12-22T20:00,2.4,89,0.7,-0.0,1.3
2024-12-22T21:00,1.9,92,0.8,-1.8,2.2
2024-12-22T22:00,3.0,85,0.7,-0.2,0.1
2024-12-22T23:00,2.1,90,0.6,-1.0,0.0
