number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,10,10,OPEN,1734188132000,46.549005,15.635014,2024-12-14 15:55:32
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,10,10,OPEN,1734261210000,46.549005,15.635014,2024-12-15 12:13:30
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,11,9,OPEN,1734262027000,46.549005,15.635014,2024-12-15 12:27:07
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,10,10,OPEN,1734262619000,46.549005,15.635014,2024-12-15 12:36:59
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,10,10,OPEN,1734267245000,46.549005,15.635014,2024-12-15 13:54:05
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,12,8,OPEN,1734354319000,46.549005,15.635014,2024-12-16 14:05:19
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,12,8,OPEN,1734356394000,46.549005,15.635014,2024-12-16 14:39:54
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,13,7,OPEN,1734357607000,46.549005,15.635014,2024-12-16 15:00:07
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,12,8,OPEN,1734362190000,46.549005,15.635014,2024-12-16 16:16:30
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,11,9,OPEN,1734362821000,46.549005,15.635014,2024-12-16 15:27:01
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,16,4,OPEN,1734367034000,46.549005,15.635014,2024-12-16 16:37:14
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,15,5,OPEN,1734368610000,46.549005,15.635014,2024-12-16 17:03:30
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,15,5,OPEN,1734370056000,46.549005,15.635014,2024-12-16 17:27:36
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,14,6,OPEN,1734374284000,46.549005,15.635014,2024-12-16 18:38:04
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,15,5,OPEN,1734376707000,46.549005,15.635014,2024-12-16 19:18:27
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,15,5,OPEN,1734380931000,46.549005,15.635014,2024-12-16 20:28:51
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,16,4,OPEN,1734384317000,46.549005,15.635014,2024-12-16 21:25:17
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,16,4,OPEN,1734388171000,46.549005,15.635014,2024-12-16 22:29:31
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,16,4,OPEN,1734391189000,46.549005,15.635014,2024-12-16 23:19:49
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,16,4,OPEN,1734400840000,46.549005,15.635014,2024-12-17 02:00:40
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,16,4,OPEN,1734404450000,46.549005,15.635014,2024-12-17 03:00:50
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,16,4,OPEN,1734406867000,46.549005,15.635014,2024-12-17 03:41:07
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,16,4,OPEN,1734409888000,46.549005,15.635014,2024-12-17 04:31:28
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,16,4,OPEN,1734413514000,46.549005,15.635014,2024-12-17 05:31:54
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,18,2,OPEN,1734417143000,46.549005,15.635014,2024-12-17 06:32:23
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,19,1,OPEN,1734420167000,46.549005,15.635014,2024-12-17 07:22:47
22,maribor,DVORANA TABOR,Gorkega ulica 48,False,False,20,19,1,OPEN,1734424396000,46.549005,15.635014,2024-12-17 08:33:16
