number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,7,13,OPEN,1734188572000,46.54199,15.63831,2024-12-14 16:02:52
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,1,19,OPEN,1734260916000,46.54199,15.63831,2024-12-15 12:08:36
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,1,19,OPEN,1734261317000,46.54199,15.63831,2024-12-15 12:15:17
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,1,19,OPEN,1734261920000,46.54199,15.63831,2024-12-15 12:25:20
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,1,19,OPEN,1734262523000,46.54199,15.63831,2024-12-15 12:35:23
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,1,19,OPEN,1734267349000,46.54199,15.63831,2024-12-15 13:55:49
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,16,4,OPEN,1734354484000,46.54199,15.63831,2024-12-16 14:08:04
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,16,4,OPEN,1734356456000,46.54199,15.63831,2024-12-16 14:40:56
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,17,3,OPEN,1734357466000,46.54199,15.63831,2024-12-16 14:57:46
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,14,6,OPEN,1734362225000,46.54199,15.63831,2024-12-16 16:17:05
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,13,7,OPEN,1734362830000,46.54199,15.63831,2024-12-16 15:27:10
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,10,10,OPEN,1734367060000,46.54199,15.63831,2024-12-16 16:37:40
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,8,12,OPEN,1734368695000,46.54199,15.63831,2024-12-16 17:04:55
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,8,12,OPEN,1734370083000,46.54199,15.63831,2024-12-16 17:28:03
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,7,13,OPEN,1734374310000,46.54199,15.63831,2024-12-16 18:38:30
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,9,11,OPEN,1734376901000,46.54199,15.63831,2024-12-16 19:21:41
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,7,13,OPEN,1734380955000,46.54199,15.63831,2024-12-16 20:29:15
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,4,16,OPEN,1734383976000,46.54199,15.63831,2024-12-16 21:19:36
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,3,17,OPEN,1734388196000,46.54199,15.63831,2024-12-16 22:29:56
24,maribor,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,False,False,20,1,19,OPEN,1734391213000,46.54199,15.63831,2024-12-16 23:20:13
