number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,3,17,OPEN,1734188133000,46.558534,15.654739,2024-12-14 15:55:33
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,3,17,OPEN,1734260720000,46.558534,15.654739,2024-12-15 12:05:20
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,3,17,OPEN,1734261325000,46.558534,15.654739,2024-12-15 12:15:25
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,3,17,OPEN,1734261930000,46.558534,15.654739,2024-12-15 12:25:30
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,3,17,OPEN,1734262536000,46.558534,15.654739,2024-12-15 12:35:36
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,2,18,OPEN,1734267378000,46.558534,15.654739,2024-12-15 13:56:18
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,4,16,OPEN,1734354346000,46.558534,15.654739,2024-12-16 14:05:46
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,4,16,OPEN,1734356397000,46.558534,15.654739,2024-12-16 14:39:57
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,0,20,OPEN,1734357620000,46.558534,15.654739,2024-12-16 15:00:20
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,2,18,OPEN,1734362228000,46.558534,15.654739,2024-12-16 16:17:08
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,2,18,OPEN,1734362950000,46.558534,15.654739,2024-12-16 15:29:10
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,2,18,OPEN,1734367068000,46.558534,15.654739,2024-12-16 16:37:48
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,2,18,OPEN,1734368277000,46.558534,15.654739,2024-12-16 16:57:57
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,3,17,OPEN,1734370094000,46.558534,15.654739,2024-12-16 17:28:14
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,5,15,OPEN,1734373724000,46.558534,15.654739,2024-12-16 18:28:44
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,6,14,OPEN,1734376749000,46.558534,15.654739,2024-12-16 19:19:09
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,7,13,OPEN,1734380983000,46.558534,15.654739,2024-12-16 20:29:43
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,5,15,OPEN,1734384006000,46.558534,15.654739,2024-12-16 21:20:06
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,3,17,OPEN,1734388240000,46.558534,15.654739,2024-12-16 22:30:40
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,3,17,OPEN,1734391262000,46.558534,15.654739,2024-12-16 23:21:02
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,3,17,OPEN,1734400924000,46.558534,15.654739,2024-12-17 02:02:04
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,3,17,OPEN,1734404449000,46.558534,15.654739,2024-12-17 03:00:49
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,2,18,OPEN,1734406866000,46.558534,15.654739,2024-12-17 03:41:06
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,2,18,OPEN,1734409889000,46.558534,15.654739,2024-12-17 04:31:29
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,5,15,OPEN,1734413521000,46.558534,15.654739,2024-12-17 05:32:01
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,11,9,OPEN,1734417461000,46.558534,15.654739,2024-12-17 06:37:41
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,11,9,OPEN,1734420182000,46.558534,15.654739,2024-12-17 07:23:02
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,10,10,OPEN,1734424413000,46.558534,15.654739,2024-12-17 08:33:33
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,10,10,OPEN,1734427843000,46.558534,15.654739,2024-12-17 09:30:43
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,7,13,OPEN,1734431684000,46.558534,15.654739,2024-12-17 10:34:44
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,9,11,OPEN,1734434709000,46.558534,15.654739,2024-12-17 11:25:09
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,0,20,OPEN,1734439549000,46.558534,15.654739,2024-12-17 12:45:49
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,0,20,OPEN,1734442572000,46.558534,15.654739,2024-12-17 13:36:12
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,0,20,OPEN,1734445595000,46.558534,15.654739,2024-12-17 14:26:35
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,1,19,OPEN,1734449310000,46.558534,15.654739,2024-12-17 15:28:30
12,maribor,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,False,False,20,2,18,OPEN,1734453463000,46.558534,15.654739,2024-12-17 16:37:43
