number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,9,11,OPEN,1734188164000,46.550683,15.639333,2024-12-14 15:56:04
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,18,2,OPEN,1734260713000,46.550683,15.639333,2024-12-15 12:05:13
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,18,2,OPEN,1734261319000,46.550683,15.639333,2024-12-15 12:15:19
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,18,2,OPEN,1734261924000,46.550683,15.639333,2024-12-15 12:25:24
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,17,3,OPEN,1734262834000,46.550683,15.639333,2024-12-15 12:40:34
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,17,3,OPEN,1734267371000,46.550683,15.639333,2024-12-15 13:56:11
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,14,6,OPEN,1734354324000,46.550683,15.639333,2024-12-16 14:05:24
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,16,4,OPEN,1734356366000,46.550683,15.639333,2024-12-16 14:39:26
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,17,3,OPEN,1734357436000,46.550683,15.639333,2024-12-16 14:57:16
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,17,3,OPEN,1734362194000,46.550683,15.639333,2024-12-16 16:16:34
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,19,1,OPEN,1734362881000,46.550683,15.639333,2024-12-16 15:28:01
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,16,4,OPEN,1734367028000,46.550683,15.639333,2024-12-16 16:37:08
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,14,6,OPEN,1734368237000,46.550683,15.639333,2024-12-16 16:57:17
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,16,4,OPEN,1734370052000,46.550683,15.639333,2024-12-16 17:27:32
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,17,3,OPEN,1734374284000,46.550683,15.639333,2024-12-16 18:38:04
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,19,1,OPEN,1734376978000,46.550683,15.639333,2024-12-16 19:22:58
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,19,1,OPEN,1734380934000,46.550683,15.639333,2024-12-16 20:28:54
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,19,1,OPEN,1734384124000,46.550683,15.639333,2024-12-16 21:22:04
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,18,2,OPEN,1734388178000,46.550683,15.639333,2024-12-16 22:29:38
21,maribor,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,False,False,20,19,1,OPEN,1734391196000,46.550683,15.639333,2024-12-16 23:19:56
