number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,11,9,OPEN,1734188130000,46.56196,15.650235,2024-12-14 15:55:30
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,20,0,OPEN,1734261246000,46.56196,15.650235,2024-12-15 12:14:06
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,20,0,OPEN,1734261850000,46.56196,15.650235,2024-12-15 12:24:10
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,20,0,OPEN,1734262454000,46.56196,15.650235,2024-12-15 12:34:14
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,16,4,OPEN,1734267424000,46.56196,15.650235,2024-12-15 13:57:04
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,13,7,OPEN,1734354465000,46.56196,15.650235,2024-12-16 14:07:45
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,14,6,OPEN,1734356290000,46.56196,15.650235,2024-12-16 14:38:10
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,17,3,OPEN,1734357501000,46.56196,15.650235,2024-12-16 14:58:21
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,16,4,OPEN,1734362188000,46.56196,15.650235,2024-12-16 16:16:28
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,16,4,OPEN,1734362963000,46.56196,15.650235,2024-12-16 15:29:23
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,11,9,OPEN,1734367020000,46.56196,15.650235,2024-12-16 16:37:00
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,13,7,OPEN,1734368714000,46.56196,15.650235,2024-12-16 17:05:14
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,13,7,OPEN,1734369636000,46.56196,15.650235,2024-12-16 17:20:36
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,17,3,OPEN,1734374022000,46.56196,15.650235,2024-12-16 18:33:42
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,18,2,OPEN,1734376918000,46.56196,15.650235,2024-12-16 19:21:58
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,19,1,OPEN,1734380672000,46.56196,15.650235,2024-12-16 20:24:32
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,20,0,OPEN,1734384190000,46.56196,15.650235,2024-12-16 21:23:10
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,19,1,OPEN,1734388427000,46.56196,15.650235,2024-12-16 22:33:47
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,19,1,OPEN,1734391454000,46.56196,15.650235,2024-12-16 23:24:14
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,19,1,OPEN,1734400534000,46.56196,15.650235,2024-12-17 01:55:34
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,19,1,OPEN,1734404449000,46.56196,15.650235,2024-12-17 03:00:49
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,19,1,OPEN,1734406865000,46.56196,15.650235,2024-12-17 03:41:05
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,20,0,OPEN,1734409911000,46.56196,15.650235,2024-12-17 04:31:51
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,20,0,OPEN,1734413536000,46.56196,15.650235,2024-12-17 05:32:16
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,18,2,OPEN,1734417166000,46.56196,15.650235,2024-12-17 06:32:46
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,17,3,OPEN,1734420191000,46.56196,15.650235,2024-12-17 07:23:11
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,15,5,OPEN,1734424430000,46.56196,15.650235,2024-12-17 08:33:50
8,maribor,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,False,False,20,16,4,OPEN,1734427454000,46.56196,15.650235,2024-12-17 09:24:14
