number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,11,9,OPEN,1734188078000,46.56056,15.652935,2024-12-14 15:54:38
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,16,4,OPEN,1734260720000,46.56056,15.652935,2024-12-15 12:05:20
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,16,4,OPEN,1734261325000,46.56056,15.652935,2024-12-15 12:15:25
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,17,3,OPEN,1734261932000,46.56056,15.652935,2024-12-15 12:25:32
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,17,3,OPEN,1734262537000,46.56056,15.652935,2024-12-15 12:35:37
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,17,3,OPEN,1734267385000,46.56056,15.652935,2024-12-15 13:56:25
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,12,8,OPEN,1734354432000,46.56056,15.652935,2024-12-16 14:07:12
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,10,10,OPEN,1734356131000,46.56056,15.652935,2024-12-16 14:35:31
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,11,9,OPEN,1734357339000,46.56056,15.652935,2024-12-16 14:55:39
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,9,10,OPEN,1734362183000,46.56056,15.652935,2024-12-16 16:16:23
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,12,8,OPEN,1734362888000,46.56056,15.652935,2024-12-16 15:28:08
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,3,17,OPEN,1734367028000,46.56056,15.652935,2024-12-16 16:37:08
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,3,17,OPEN,1734368387000,46.56056,15.652935,2024-12-16 16:59:47
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,8,12,OPEN,1734370162000,46.56056,15.652935,2024-12-16 17:29:22
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,8,12,OPEN,1734374289000,46.56056,15.652935,2024-12-16 18:38:09
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,7,13,OPEN,1734376705000,46.56056,15.652935,2024-12-16 19:18:25
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,7,13,OPEN,1734380935000,46.56056,15.652935,2024-12-16 20:28:55
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,8,12,OPEN,1734384122000,46.56056,15.652935,2024-12-16 21:22:02
11,maribor,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,False,False,20,8,12,OPEN,1734388178000,46.56056,15.652935,2024-12-16 22:29:38
