number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,3,17,OPEN,1734188325000,46.561555,15.65692,2024-12-14 15:58:45
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,1,19,OPEN,1734261211000,46.561555,15.65692,2024-12-15 12:13:31
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,2,18,OPEN,1734261816000,46.561555,15.65692,2024-12-15 12:23:36
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,2,18,OPEN,1734262419000,46.561555,15.65692,2024-12-15 12:33:39
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,2,18,OPEN,1734267483000,46.561555,15.65692,2024-12-15 13:58:03
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,7,13,OPEN,1734354416000,46.561555,15.65692,2024-12-16 14:06:56
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,3,17,OPEN,1734356239000,46.561555,15.65692,2024-12-16 14:37:19
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,4,16,OPEN,1734357453000,46.561555,15.65692,2024-12-16 14:57:33
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,0,20,OPEN,1734362301000,46.561555,15.65692,2024-12-16 16:18:21
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,0,20,OPEN,1734362906000,46.561555,15.65692,2024-12-16 15:28:26
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,3,17,OPEN,1734367059000,46.561555,15.65692,2024-12-16 16:37:39
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,8,12,OPEN,1734368367000,46.561555,15.65692,2024-12-16 16:59:27
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,6,14,OPEN,1734369579000,46.561555,15.65692,2024-12-16 17:19:39
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,6,14,OPEN,1734374193000,46.561555,15.65692,2024-12-16 18:36:33
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,7,13,OPEN,1734376854000,46.561555,15.65692,2024-12-16 19:20:54
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,7,13,OPEN,1734380494000,46.561555,15.65692,2024-12-16 20:21:34
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,11,9,OPEN,1734384130000,46.561555,15.65692,2024-12-16 21:22:10
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,12,8,OPEN,1734388377000,46.561555,15.65692,2024-12-16 22:32:57
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,12,8,OPEN,1734391397000,46.561555,15.65692,2024-12-16 23:23:17
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,12,8,OPEN,1734400477000,46.561555,15.65692,2024-12-17 01:54:37
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,12,8,OPEN,1734404453000,46.561555,15.65692,2024-12-17 03:00:53
13,maribor,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,False,False,20,11,9,OPEN,1734406874000,46.561555,15.65692,2024-12-17 03:41:14
