timestamp,temperature,humidity,dew_point,apparent_temperature,precipitation
2024-12-14 00:00:00,-0.1,85,-2.3,-3.4,0.0
2024-12-14 01:00:00,-0.2,87,-2.1,-3.8,0.0
2024-12-14 02:00:00,-0.3,86,-2.4,-4.1,0.0
2024-12-14 03:00:00,-0.0,85,-2.3,-3.1,0.0
2024-12-14 04:00:00,-0.4,92,-1.6,-3.5,0.0
2024-12-14 05:00:00,-0.4,93,-1.4,-3.3,0.0
2024-12-14 06:00:00,-0.3,95,-1.0,-3.0,0.0
2024-12-14 07:00:00,-0.3,96,-0.9,-3.5,0.1
2024-12-14 08:00:00,-0.0,93,-1.0,-3.1,0.0
2024-12-14 09:00:00,0.7,89,-1.0,-2.7,0.0
2024-12-14 10:00:00,1.3,86,-0.8,-1.6,0.0
2024-12-14 11:00:00,1.9,84,-0.5,-1.2,0.0
2024-12-14 12:00:00,2.4,81,-0.5,-0.3,0.0
2024-12-14 13:00:00,2.7,79,-0.6,0.1,0.0
2024-12-14 14:00:00,2.6,81,-0.3,0.1,0.0
2024-12-14 15:00:00,2.4,83,-0.2,-0.0,0.0
2024-12-14 16:00:00,2.1,84,-0.4,-0.3,0.0
2024-12-14 17:00:00,1.7,85,-0.5,-0.8,0.0
2024-12-14 18:00:00,0.6,93,-0.4,-2.1,0.0
2024-12-14 19:00:00,0.2,98,-0.1,-2.3,0.0
2024-12-14 20:00:00,-0.0,99,-0.2,-2.5,0.0
2024-12-14 21:00:00,-0.2,100,-0.2,-2.5,0.0
2024-12-14 22:00:00,-0.1,100,-0.1,-2.5,0.0
2024-12-14 23:00:00,-0.5,100,-0.5,-3.1,0.0
2024-12-15 00:00:00,-2.5,100,-2.5,-5.3,0.0
2024-12-15 01:00:00,-2.3,100,-2.3,-5.2,0.0
2024-12-15 02:00:00,-3.0,100,-3.0,-6.0,0.0
2024-12-15 03:00:00,-1.4,97,-1.9,-4.1,0.0
2024-12-15 04:00:00,-1.7,100,-1.7,-4.3,0.0
2024-12-15 05:00:00,-1.9,100,-1.9,-4.6,0.0
2024-12-15 06:00:00,-3.8,100,-3.8,-6.6,0.0
2024-12-15 07:00:00,-1.9,99,-2.1,-4.7,0.0
2024-12-15 08:00:00,0.4,88,-1.4,-2.0,0.0
2024-12-15 09:00:00,-0.6,94,-1.4,-3.2,0.0
2024-12-15 10:00:00,0.6,91,-0.7,-2.2,0.0
2024-12-15 11:00:00,2.3,86,0.2,-0.3,0.0
2024-12-15 12:00:00,3.5,81,0.6,1.0,0.0
2024-12-15 13:00:00,4.2,81,1.2,2.2,0.0
2024-12-15 14:00:00,4.3,77,0.6,1.8,0.0
2024-12-15 15:00:00,4.0,80,0.8,1.7,0.0
2024-12-15 16:00:00,3.2,73,-1.2,0.2,0.0
2024-12-15 17:00:00,1.8,75,-2.2,-1.2,0.0
2024-12-15 18:00:00,1.8,76,-2.0,-1.0,0.0
2024-12-15 19:00:00,1.8,72,-2.7,-1.1,0.0
2024-12-15 20:00:00,1.2,74,-3.0,-1.8,0.0
2024-12-15 21:00:00,1.1,74,-3.1,-1.9,0.0
2024-12-15 22:00:00,0.5,77,-3.1,-2.6,0.0
2024-12-15 23:00:00,-1.0,91,-2.3,-4.0,0.0
